,localite,numero
137,Ehner,13
138,Eischen,734
139,Eisenbach,145
140,Eisenborn,85
141,Ell,213
142,Ellange,165
143,Eltz,16
144,Elvange,360
145,Emerange,50
146,Enscherange,95
147,Enteschbach,1
148,Eppeldorf,102
149,Ermsdorf,139
150,Ernster,156
151,Ernzen,133
152,Erpeldange,374
153,Erpeldange-sur-Sûre,325
154,Ersange,77
155,Esch-sur-Alzette,7079
156,Esch-sur-Sûre,148
157,Eschdorf,328
158,Eschette,15
159,Eschweiler,208
160,Eselborn,170
161,Essingen,9
162,Ettelbruck,1930
163,Everlange,203
164,Fennange,126
165,Fentange,590
166,Filsdorf,174
167,Findel,60
168,Fingig,153
169,Finsterthal,6
170,Fischbach,200
171,Flatzbour,8
172,Flaxweiler,181
173,Flebour,10
174,Foetz,188
175,Folkendange,11
176,Folschette,175
177,Fossenhof,1
178,Fouhren,157
179,Freckeisen,10
180,Friedbusch,7
181,Frisange,557
182,Garnich,439
183,Geyershof,14
184,Gilsdorf,349
185,Girst,44
186,Girsterklaus,8
187,Givenich,17
188,Godbrange,196
189,Goebelsmuehle,1
190,Goebelsmühle,14
191,Goeblange,215
192,Goedange,18
193,Goesdorf,121
194,Goetzingen,168
195,Gonderange,594
196,Gosseldange,191
197,Gostingen,193
198,Gralingen,91
199,Grass,127
200,Graulinster,62
201,Greisch,76
202,Greiveldange,333
203,Grentzingen,2
204,Grevels,118
205,Grevels (Grosbous),1
206,Grevenknapp,101
207,Grevenmacher,1410
208,Grindhausen,11
209,Grosbous,360
210,Gruemelscheid,31
211,Grundhof,16
212,Grundhof (Berdorf),5
213,Hachiville,88
214,Hagelsdorf,11
215,Hagen,488
216,Haller,130
217,Hamiville,88
218,Harlange,252
219,Hassel,232
220,Haut-Martelange,13
221,Hautbellain,83
222,Hautcharage,587
223,Heffingen,392
224,Heiderscheid,216
225,Heiderscheidergrund,32
226,Heinerscheid,213
227,Heisdorf,568
228,Heispelt,45
229,Hellange,268
230,Helmdange,245
231,Helmsange,803
232,Hemstal,46
233,Herborn,93
234,Hersberg,35
235,Hesperange,647
236,Hierheck,13
237,Hinkel,34
238,Hinterhassel,4
239,Hivange,49
240,Hobscheid,592
241,Hoesdorf,51
242,Hoffelt,125
243,Hollenfels,189
244,Holler,37
245,Hollermühle,2
246,Holtz,146
247,Holzem,267
248,Holzthum,127
249,Hoscheid,183
250,Hoscheid-Dickt,92
251,Hoscheidterhof,3
252,Hosingen,441
253,Hostert,321
254,Hovelange,139
255,Howald,1145
256,Huettermuehle,22
257,Huldange,199
258,Huncherange,249
259,Hunsdorf,180
260,Hupperdange,129
261,Huttange,8
262,Imbringen,119
263,Ingeldorf,303
264,Insenborn,104
265,Itzig,648
266,Junglinster,1099
267,Kaaspelterhof,1
268,Kaesfurt,6
269,Kahler,130
270,Kalborn,24
271,Kalborn-Moulin,1
272,Kalkesbach (Berdorf),10
273,Kalkesbach (Consdorf),3
274,Kapenacker,8
275,Kapweiler,16
276,Kaundorf,162
277,Kautenbach,85
278,Kayl,1526
279,Kehlen,763
280,Kehmen,42
281,Keispelt,258
282,Keiwelbach,6
283,Kirelshof,1
284,Kleemühle,1
285,Kleinbettingen,388
286,Klingelscheuer,3
287,Knaphoscheid,111
288,Kobenbour,34
289,Kockelscheuer,128
290,Koedange,4
291,Koerich,480
292,Koetschette,62
293,Kopstal,322
294,Kuborn,48
295,Këppenhaff,2
296,Lamadelaine,874
297,Landscheid,37
298,Lannen,52
299,Larochette,439
300,Lasauvage,155
301,Lausdorn,5
302,Leesbach,0
303,Lehrhof,8
304,Leithum,65
305,Lellig,97
306,Lellingen,63
307,Lenningen,145
308,Lentzweiler,34
309,Leudelange,875
310,Levelange,42
311,Liefrange,74
312,Lieler,152
313,Lilien,3
314,Limpach,137
315,Linger,221
316,Lintgen,690
317,Lipperscheid,122
318,Livange,153
319,Longsdorf,36
320,Lorentzweiler,485
321,Lullange,56
322,Lultzhausen,17
323,Luxembourg,20784
324,Machtum,201
325,Mamer,2049
326,Manternach,236
327,Marienthal,6
328,Marnach,239
329,Marscherwald,7
330,Masseler,23
331,Maulusmuehle,9
332,Maulusmühle,2
333,Mecher,48
334,Medernach,421
335,Medingen,50
336,Meispelt,129
337,Mensdorf,327
338,Merkholtz,62
339,Mersch,1301
340,Merscheid,186
341,Mertert,574
342,Mertzig,737
343,Michelau,173
344,Michelbouch,50
345,Moersdorf,163
346,Moesdorf,137
347,Moestroff,149
348,Mompach,97
349,Mondercange,1195
350,Mondorf-les-Bains,794
351,Moutfort,500
352,Mullendorf,383
353,Mullerthal,19
354,Munsbach,254
355,Munshausen,91
356,Münschecker,79
357,Nachtmanderscheid,28
358,Nagem,114
359,Neidhausen,60
360,Neuhaeusgen,93
361,Neunhausen,71
362,Niederanven,506
363,Niederdonven,178
364,Niederfeulen,595
365,Niederglabach,5
366,Niederkorn,1680
367,Niederpallen,161
368,Niederwampach,79
369,Nocher,165
370,Nocher-Route,76
371,Noerdange,222
372,Noertrange,120
373,Noertzange,361
374,Nommern,138
375,Nospelt,431
376,Nothum,134
377,Oberanven,268
378,Oberdonven,82
379,Oberfeulen,200
380,Oberglabach,12
381,Oberkorn,1049
382,Oberpallen,176
383,Oberschlinder,2
384,Oberwampach,97
385,Oetrange,271
386,Olingen,169
387,Olm,594
388,Openthalt,7
389,Ospern,157
390,Osweiler,181
391,Peppange,246
392,Perlé,322
393,Petit-Nobressart,53
394,Pettingen,84
395,Pintsch,107
396,Pissange,32
397,Platen,186
398,Pommerloch,40
399,Pontpierre,360
400,Pratz,183
401,Prettingen,40
402,Putscheid,49
403,Pétange,2289
404,Rambrouch,227
405,Rameldange,279
406,Reckange,328
407,Reckange-sur-Mess,394
408,Redange/Attert,542
409,Reichlange,69
410,Reimberg,90
411,Reisdorf,249
412,Remerschen,298
413,Remich,1048
414,Reuland,115
415,Reuler,92
416,Riesenhof,18
417,Rindschleiden,3
418,Ringel,26
419,Rippig,58
420,Rippweiler,73
421,Rodange,1707
422,Rodenbourg,67
423,Roder,36
424,Rodershausen,57
425,Roedgen,133
426,Roedt,40
427,Roeser,240
428,Rolling,53
429,Rollingen,457
430,Rombach-Martelange,111
431,Roodt (Ell),145
432,Roodt-sur-Syre,597
433,Roodt/Eisch,101
434,Roost (Bissen),29
435,Rosport,310
436,Rossmühle,1
437,Roullingen,60
438,Rumelange,1321
439,Rumlange,43
440,Saeul,185
441,Sandweiler,1056
442,Sanem,893
443,Sassel,25
444,Savelborn,8
445,Savelborn (Waldbillig),1
446,Schandel,85
447,Scheidel,23
448,Scheidgen,157
449,Schengen,238
450,Schieren,618
451,Schifflange,2639
452,Schiltzberg,6
453,Schimpach,27
454,Schleif,6
455,Schlindermanderscheid,76
456,Schoenfels,89
457,Schoos,120
458,Schouweiler,514
459,Schrassig,243
460,Schrondweiler,156
461,Schuttrange,509
462,Schwebach,49
463,Schwebsingen,146
464,Schweich,98
465,Selscheid,59
466,Seltz,7
467,Senningen,250
468,Senningerberg,573
469,Septfontaines,163
470,Siebenaler,28
471,Simmerfarm,5
472,Simmerschmelz,4
473,Soleuvre,1731
474,Sonlez,25
475,Sprinkange,217
476,Stadtbredimus,294
477,Stegen,201
478,Steinfort,893
479,Steinheim,226
480,Steinsel,781
481,Stockem,51
482,Stolzembourg,93
483,Strassen,2141
484,Stuppicht,3
485,Surré,141
486,Syren,232
487,Tadler,33
488,Tandel,51
489,Tarchamps,142
490,Tintesmühle,2
491,Trintange,102
492,Troine,92
493,Troine-Route,47
494,Troisvierges,612
495,Tuntange,394
496,Tétange,1098
497,Uebersyren,245
498,Unterschlinder,6
499,Urspelt,60
500,Useldange,368
501,Vianden,676
502,Vichten,441
503,Wahl,132
504,Wahlhausen,189
505,Waldbillig,206
506,Waldbredimus,198
507,Waldhof,1
508,Walferdange,318
509,Wallendorf-Pont,84
510,Walsdorf,23
511,Warken,412
512,Wasserbillig,867
513,Watrange,49
514,Wecker,95
515,Wecker-Gare,210
516,Weicherdange,122
517,Weidingen,213
518,Weiler,78
519,Weiler-la-Tour,341
520,Weilerbach,25
521,Weiswampach,378
522,Welfrange,69
523,Wellenstein,247
524,Welscheid,82
525,Welsdorf,167
526,Wemperhardt,19
527,Weydig,8
528,Weyer,5
529,Wickrange,37
530,Wiltz,1654
531,Wilwerdange,138
532,Wilwerwiltz,128
533,Wincrange,97
534,Windhof (Koerich),70
535,Winseler,71
536,Wintrange,174
537,Wirtgensmühle,2
538,Wolper,8
539,Wolwelange,209
540,Wormeldange,316
541,Wormeldange-Haut,152
542,Zittig,31
